optimizer,lr,kwargs,total_epochs,batch_size,hidden_size,seed,epoch,train_loss,train_acc,test_loss,test_acc
SGD,0.1,{},30,100,100,42,1,1.1515956347684067,0.7168833333333333,0.5305247578024864,0.8724
SGD,0.1,{},30,100,100,42,2,0.448405266503493,0.8831166666666667,0.3714158088713884,0.8997
SGD,0.1,{},30,100,100,42,3,0.359487890402476,0.8996166666666666,0.32212769966572524,0.9103
SGD,0.1,{},30,100,100,42,4,0.3225370872517427,0.9078166666666667,0.2998034642264247,0.914
SGD,0.1,{},30,100,100,42,5,0.29946213838954766,0.9143,0.27912733489647507,0.9201
SGD,0.1,{},30,100,100,42,6,0.28252997492750487,0.9188333333333333,0.2656568029895425,0.9238
SGD,0.1,{},30,100,100,42,7,0.2684375786408782,0.9228833333333334,0.25519913537427785,0.9269
SGD,0.1,{},30,100,100,42,8,0.25617368587603173,0.9266666666666666,0.2448643036466092,0.93
SGD,0.1,{},30,100,100,42,9,0.24511872172355653,0.92955,0.2349952881783247,0.9332
SGD,0.1,{},30,100,100,42,10,0.23490330706040063,0.9324166666666667,0.22699948804453016,0.9356
SGD,0.1,{},30,100,100,42,11,0.2255071754505237,0.9353333333333333,0.2172911847103387,0.9396
SGD,0.1,{},30,100,100,42,12,0.21729953167960048,0.9378166666666666,0.2108401739783585,0.9401
SGD,0.1,{},30,100,100,42,13,0.20916473917663098,0.9398833333333333,0.20488560277037324,0.941
SGD,0.1,{},30,100,100,42,14,0.20185892935842276,0.94215,0.19831999429501593,0.9431
SGD,0.1,{},30,100,100,42,15,0.1950614033701519,0.94405,0.19142255858518184,0.9452
SGD,0.1,{},30,100,100,42,16,0.18866850543767213,0.9460666666666666,0.18546261893119664,0.9471
SGD,0.1,{},30,100,100,42,17,0.1825379473529756,0.9479166666666666,0.181673938841559,0.9482
SGD,0.1,{},30,100,100,42,18,0.17704056163628895,0.9495,0.1761478741839528,0.9494
SGD,0.1,{},30,100,100,42,19,0.17150982092445097,0.9509666666666666,0.17080070708412676,0.9513
SGD,0.1,{},30,100,100,42,20,0.16652778430531423,0.9522666666666667,0.16706448612734676,0.9516
SGD,0.1,{},30,100,100,42,21,0.16179406435539326,0.9535666666666667,0.16293971525039525,0.9522
SGD,0.1,{},30,100,100,42,22,0.1569508738008638,0.9547833333333333,0.15825040537863969,0.9543
SGD,0.1,{},30,100,100,42,23,0.15271156337112188,0.9564,0.15617567009758204,0.9537
SGD,0.1,{},30,100,100,42,24,0.14872344701550902,0.95755,0.15277620678767562,0.9549
SGD,0.1,{},30,100,100,42,25,0.14489533437415958,0.9588833333333333,0.15191747784614562,0.9553
SGD,0.1,{},30,100,100,42,26,0.14111077434693772,0.9597166666666667,0.1457590707531199,0.9578
SGD,0.1,{},30,100,100,42,27,0.13762647817532223,0.9604666666666667,0.143370711626485,0.9587
SGD,0.1,{},30,100,100,42,28,0.13423813119530678,0.9613,0.14105070924386381,0.9581
SGD,0.1,{},30,100,100,42,29,0.13104691279741626,0.9624833333333334,0.1385673862369731,0.9589
SGD,0.1,{},30,100,100,42,30,0.12801070809985202,0.9634666666666667,0.1348788229562342,0.9603
